"rowid","date","stkpt","operation","workcentre","rm","rmissqty","pnum","rcno","prcno","partissued","qtyrejected","partreceived","inv","heat","lot","coil","rsn","username","ip","created"
"674010","2023-02-11","PAINTSHOP",,,,"0.0000","29196167","N2023000072","DC-U1D22-2309743","855","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 12:24:18"
"672802","2023-02-10","PAINTSHOP",,,,"0.0000","29195704",,"DC-U1D22-2309704","0","0","6751",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-20 11:50:59"
"672803","2023-02-10","PAINTSHOP",,,,"0.0000","29195704","N2023000011","DC-U1D22-2309704","6751","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-20 11:50:59"
"673337","2023-02-10","FG For Invoicing",,,,"0.0000","29195298","U12223-18298","DC-U1D22-2309252","0","0","26",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:32:43"
"673338","2023-02-10","FG For Invoicing",,,,"0.0000","29195298","U12223-18298","DC-U1D22-2309252","26","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:32:43"
"673339","2023-02-10","FG For Invoicing",,,,"0.0000","29195298","U12223-18298","DC-U1D22-2309252","0","0","240",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:35:43"
"673340","2023-02-10","FG For Invoicing",,,,"0.0000","29195298","U12223-18298","DC-U1D22-2309252","240","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:35:43"
"673456","2023-02-10","PAINTSHOP",,,,"0.0000","29194394",,"DC-U1D22-2307677","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 06:48:40"
"673457","2023-02-10","PAINTSHOP",,,,"0.0000","29194394","N2023000038","DC-U1D22-2307677","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 06:48:40"
"673460","2023-02-10","PAINTSHOP",,,,"0.0000","29194394",,"DC-U1D22-2308295","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 07:00:55"
"673461","2023-02-10","PAINTSHOP",,,,"0.0000","29194394","N2023000039","DC-U1D22-2308295","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 07:00:56"
"673427","2023-02-10","FG For Invoicing",,,,"0.0000","29194394","U12223-18311","DC-U1D22-2308573","0","0","174",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:49:15"
"673428","2023-02-10","FG For Invoicing",,,,"0.0000","29194394","U12223-18311","DC-U1D22-2308573","174","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:49:15"
"672155","2023-02-08","FG For Invoicing",,,,"0.0000","29194058","U12223-18142","DC-U1D22-2306019","0","0","460",,,,,,"Saravanan&bala","192.168.1.236","2023-02-08 17:06:42"
"672156","2023-02-08","FG For Invoicing",,,,"0.0000","29194058","U12223-18142","DC-U1D22-2306019","460","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-08 17:06:42"
"673402","2023-02-10","FG For Invoicing",,,,"0.0000","29193862","U12223-18308","DC-U1D22-2309683","0","0","187",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:44:46"
"673403","2023-02-10","FG For Invoicing",,,,"0.0000","29193862","U12223-18308","DC-U1D22-2309683","187","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:44:46"
"673440","2023-02-10","PAINTSHOP",,,,"0.0000","29193862",,"DC-U1D22-2309683","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 15:40:03"
"673441","2023-02-10","PAINTSHOP",,,,"0.0000","29193862","N2023000036","DC-U1D22-2309683","0","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 15:40:03"
"673442","2023-02-10","PAINTSHOP",,,,"0.0000","29193862",,"DC-U1D22-2309750","0","0","151",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 06:11:13"
"673443","2023-02-10","PAINTSHOP",,,,"0.0000","29193862","N2023000037","DC-U1D22-2309750","151","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 06:11:13"
"672789","2023-02-10","PAINTSHOP",,,,"0.0000","29192718",,"DC-U1D22-2309717","0","0","1259",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-20 05:30:09"
"672790","2023-02-10","PAINTSHOP",,,,"0.0000","29192718","N2023000006","DC-U1D22-2309717","1259","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-20 05:30:09"
"672657","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18197","DC-U1D22-2309452","0","0","3086",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:53:36"
"672658","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18197","DC-U1D22-2309452","3086","0","0",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:53:36"
"672659","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18198","DC-U1D22-2309452","0","0","4000",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:54:26"
"672660","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18198","DC-U1D22-2309452","4000","0","0",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:54:26"
"672661","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18199","DC-U1D22-2309452","0","0","4000",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:55:23"
"672662","2023-02-09","FG For Invoicing",,,,"0.0000","29192710","U12223-18199","DC-U1D22-2309452","4000","0","0",,,,,,"Saravanan&bala","192.168.1.144","2023-02-09 17:55:23"
"673386","2023-02-10","FG For Invoicing",,,,"0.0000","29192710","U12223-18305","DC-U1D22-2309452","0","0","4000",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:42:57"
"673387","2023-02-10","FG For Invoicing",,,,"0.0000","29192710","U12223-18305","DC-U1D22-2309452","4000","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-10 16:42:57"
"673425","2023-02-10","PAINTSHOP",,,,"0.0000","29192710",,"DC-U1D22-2309496","0","0","14816",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-10 16:49:09"
"673426","2023-02-10","PAINTSHOP",,,,"0.0000","29192710","N2023000035","DC-U1D22-2309496","14816","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-10 16:49:09"
"672455","2023-02-09","CLE UNIT 2",,,,"0.0000","29192710","L2023000074","DC-U1D22-2309675","18333","0","0",,,,,"UNPAINTED","VSS UNIT 2","192.168.1.187","2023-02-09 15:27:56"
"673501","2023-02-10","PAINTSHOP",,,,"0.0000","29192710",,"DC-U1D22-2309675","0","0","18",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-10 17:05:44"
"673502","2023-02-10","PAINTSHOP",,,,"0.0000","29192710","N2023000050","DC-U1D22-2309675","18","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-10 17:05:44"
"673503","2023-02-10","PAINTSHOP",,,,"0.0000","29192710",,"DC-U1D22-2309675","0","0","6348",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 07:20:09"
"673504","2023-02-10","PAINTSHOP",,,,"0.0000","29192710","N2023000051","DC-U1D22-2309675","6348","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 07:20:09"
"672804","2023-02-10","PAINTSHOP",,,,"0.0000","29192710",,"DC-U1D22-2309705","0","0","6588",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-10 09:31:59"
"672805","2023-02-10","PAINTSHOP",,,,"0.0000","29192710","N2023000012","DC-U1D22-2309705","6588","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-10 09:31:59"
"674013","2023-02-11","PAINTSHOP",,,,"0.0000","29192710",,"DC-U1D22-2309745","0","0","20686",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 12:24:58"
"674014","2023-02-11","PAINTSHOP",,,,"0.0000","29192710","N2023000074","DC-U1D22-2309745","20686","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 12:24:58"
"672463","2023-02-09","CLE UNIT 2",,,,"0.0000","29192689","L2023000075","DC-U1D22-2309613","19434","0","0",,,,,"UNPAINTED","VSS UNIT 2","192.168.1.187","2023-02-13 16:46:12"
"672465","2023-02-09","CLE UNIT 2",,,,"0.0000","29192689","L2023000076","DC-U1D22-2309613","19434","0","0",,,,,"UNPAINTED","VSS UNIT 2","192.168.1.187","2023-02-09 15:30:56"
"673954","2023-02-11","PAINTSHOP",,,,"0.0000","29192689",,"DC-U1D22-2309756","0","0","8474",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 11:50:02"
"673955","2023-02-11","PAINTSHOP",,,,"0.0000","29192689","N2023000060","DC-U1D22-2309756","8474","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 11:50:02"
"673509","2023-02-10","PAINTSHOP",,,,"0.0000","29192593",,"DC-U1D22-2309729","0","0","1853",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 01:40:25"
"673510","2023-02-10","PAINTSHOP",,,,"0.0000","29192593","N2023000052","DC-U1D22-2309729","1853","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-20 01:40:25"
"672513","2023-02-09","CLE UNIT 2",,,,"0.0000","29152608","L2023000077","DC-U1D22-2309671","5001","0","0",,,,,"UNPAINTED","VSS UNIT 2","192.168.1.187","2023-02-09 16:06:24"
"673323","2023-02-10","PAINTSHOP",,,,"0.0000","29152608",,"DC-U1D22-2309671","0","0","2497",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-16 12:40:10"
"673324","2023-02-10","PAINTSHOP",,,,"0.0000","29152608","N2023000025","DC-U1D22-2309671","2497","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-16 12:40:10"
"674007","2023-02-11","PAINTSHOP",,,,"0.0000","29152608",,"DC-U1D22-2309741","0","0","7941",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 12:23:06"
"674008","2023-02-11","PAINTSHOP",,,,"0.0000","29152608","N2023000071","DC-U1D22-2309741","7941","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-11 12:23:06"
"674381","2023-02-11","FG For Invoicing",,,,"0.0000","29374521","U12223-18397","DC-U1D22-2309000","0","0","474",,,,,,"Saravanan&bala","192.168.1.236","2023-02-11 17:29:49"
"674382","2023-02-11","FG For Invoicing",,,,"0.0000","29374521","U12223-18397","DC-U1D22-2309000","474","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-11 17:29:49"
"675685","2023-02-14","FG For Invoicing",,,,"0.0000","29372765","U12223-18567","DC-U1D22-2308572","0","0","240",,,,,,"Saravanan&bala","192.168.1.236","2023-02-14 15:49:16"
"675686","2023-02-14","FG For Invoicing",,,,"0.0000","29372765","U12223-18567","DC-U1D22-2308572","240","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-14 15:49:16"
"675743","2023-02-14","PAINTSHOP",,,,"0.0000","29372765",,"DC-U1D22-2308572","0","0","528",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 07:49:56"
"675744","2023-02-14","PAINTSHOP",,,,"0.0000","29372765","N2023000107675744","DC-U1D22-2308572","528","0","0",,,,,,"VSS UNIT 2","192.168.1.172","2023-02-17 12:43:56"
"674373","2023-02-11","FG For Invoicing",,,,"0.0000","29371588","U12223-18394","DC-U1D22-2309646","0","0","380",,,,,,"Saravanan&bala","192.168.1.236","2023-02-11 17:23:35"
"674374","2023-02-11","FG For Invoicing",,,,"0.0000","29371588","U12223-18394","DC-U1D22-2309646","380","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-11 17:23:35"
"675142","2023-02-13","FG For Invoicing",,,,"0.0000","29371588","U12223-18509","DC-U1D22-2309646","0","0","2688",,,,,,"Saravanan&bala","192.168.1.236","2023-02-13 17:12:03"
"675143","2023-02-13","FG For Invoicing",,,,"0.0000","29371588","U12223-18509","DC-U1D22-2309646","2688","0","0",,,,,,"Saravanan&bala","192.168.1.236","2023-02-13 17:12:03"
"675319","2023-02-14","PAINTSHOP",,,,"0.0000","29371588",,"DC-U1D22-2309815","0","0","2578",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-17 07:49:56"
"675320","2023-02-14","PAINTSHOP",,,,"0.0000","29371588","N2023000107675320","DC-U1D22-2309815","2578","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-17 12:43:56"
"674680","2023-02-13","FG For Invoicing",,,,"0.0000","29371408-T",,"DC-U1D22-2309799","0","0","1555",,,,,,"GURUMOORTHY","192.168.1.27","2023-02-13 12:06:10"
"674681","2023-02-13","FG For Invoicing",,,,"0.0000","29371408-T","AFDC-U1D22-2309799","DC-U1D22-2309799","1555","0","0",,,,,,"GURUMOORTHY","192.168.1.27","2023-02-13 12:06:10"
"674683","2023-02-13","FG For Invoicing",,,,"0.0000","29371408",,"DC-U1D22-2309799","0","0","190",,,,,,"GURUMOORTHY","192.168.1.27","2023-02-13 12:06:22"
"674684","2023-02-13","FG For Invoicing",,,,"0.0000","29371408","AFDC-U1D22-2309799","DC-U1D22-2309799","190","0","0",,,,,,"GURUMOORTHY","192.168.1.27","2023-02-13 12:06:22"
"675114","2023-02-13","PAINTSHOP",,,,"0.0000","29371408",,"DC-U1D22-2309799","0","0","1245",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-18 09:52:39"
"675115","2023-02-13","PAINTSHOP",,,,"0.0000","29371408","N20-23000107-22","DC-U1D22-2309799","1245","0","0",,,,,,"VSS UNIT 2","192.168.1.187","2023-02-18 09:52:39"
